;cml;phi_io;phi_gan;phi_eu;time;freq;intensity;drift_rate;sigma;chi;snr
6789;45.67336524836719;244.09740279940888;41.63351670245174;167.89102960331365;11425.291434546467;12.486267;0.8901819;-12.452024;14.32584;0.0040849308;12.978198
6790;45.68446789123118;244.09997762180865;41.63415885181166;167.8923147681635;11425.29144730186;12.486267;1.2860647;-12.137892;14.82322;0.0058987536;16.47005
6791;45.69555310532451;244.1025484027341;41.63479999313131;167.89359791530296;11425.291460037231;12.486267;1.3812212;-10.983531;11.51929;0.0068568164;14.379886
6792;45.70663872361183;244.10511927725747;41.63544115796685;167.89488110970706;11425.291472773068;12.486267;0.6497206;-12.137892;16.773453;0.0030009167;10.485854
6793;45.71774136647582;244.1076941001229;41.63608330732677;167.89616627432406;11425.291485528462;12.486267;0.7281449;-11.834587;17.113323;0.0035009927;12.524935
6794;45.72882658056915;244.1102648805827;41.63672444864642;167.89744942169636;11425.291498263832;12.486267;0.5531616;-12.137892;19.74855;0.002914451;8.854982
6795;45.73992922343314;244.11283970344812;41.63736659812275;167.8987345865462;11425.291511019226;12.486267;0.7508785;-11.834587;17.861206;0.0023069708;11.4463415
6796;45.751014437526464;244.1154104839079;41.6380077394424;167.90001773368567;11425.291523754597;12.486267;0.5542699;-12.137892;14.632713;0.0017140788;11.24255
6797;45.762100057676435;244.11798135889694;41.63864890416153;167.90130092808977;11425.291536490433;12.486267;0.3058765;-12.452024;15.918644;0.0004646911;14.436698
6798;45.77320270054042;244.1205561812967;41.63929105363786;167.90258609270677;11425.291549245827;12.486267;0.5899492;-12.452024;15.485973;0.0014882366;17.538635
6799;45.784287912771106;244.12312696222216;41.63993219495751;167.90386924007908;11425.291561981197;12.486267;0.5681047;-13.115525;15.307359;0.0014659766;13.490781
6800;45.79537312686443;244.12569774268195;41.64057333627716;167.90515238745138;11425.291574716568;12.486267;0.27749738;-12.137892;12.990619;0.0006473768;9.7890415
6801;45.80647576972842;244.12827256554738;41.641215485637076;167.90643755206838;11425.291587471962;12.486267;0.20652007;-12.452024;10.243981;0.00050348125;8.32644
6802;45.81756138987839;244.13084344007075;41.64185665047262;167.90772074623965;11425.291600207798;12.486267;0.11532493;-11.257965;14.02056;0.00022726369;7.398052
